,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
2,100118,16904,2245,143849,True,Tue Jun 08 23:15:33 +0000 2021,"Hey #APES #AMCARMY: @TND and @janjeffcoat are having me on tomorrow morning at 8:40 a ET. What is it that you want to let America know about your purpose and fight? Reply to LMK so I can rep tomorrow!  

$AMC $GME #dumbmoney #AMCAPES #apestogetherstrong #NakedShorts",1402403955355815939,-0.3382
1,100118,16904,2245,143849,True,Wed Jun 09 14:20:04 +0000 2021,This morning I talked about what the #ApeArmy and retail investors are fighting for... $AMC $GME #apestogetherstrong #APES #AMCArmy #dumbmoney #NakedShorts #FinancialTreason https://t.co/NhnKkXmDHm,1402631585598431243,-0.3182
75,32540,36,192,9131,False,Wed Jun 09 20:40:59 +0000 2021,El after hour de $GME es de locos.,1402727445611098119,0.0
0,26862,2007,593,7174,True,Tue Jun 08 19:28:37 +0000 2021,"@S3Partners ""Squeeze Score"" of 10/10

(Companies with the highest potential for a short squeeze)

$AMC 
$GME
$CLOV
$BYND
$SKLZ
$SPCE
$UPST
$BBBY
$MVIS
$NKLA",1402346848824836098,0.2263
12,23661,116,76,7279,False,Wed Jun 09 20:42:10 +0000 2021,"Alright here we are: vote count
It's interesting...

https://t.co/KKmztd5blW

#GME $GME #SUPERSTONK",1402727746128605187,0.25
99,22210,4255,186,7796,False,Wed Jun 09 20:40:30 +0000 2021,"Would bet big money that if SEC did a serious probe into $GME trading, they would find painting of the tape activity among whales in dark pools or elsewhere and criminal social media manipulation. #GameStomp",1402727323682623488,-0.6486
51,16728,32,153,12149,False,Wed Jun 09 20:41:28 +0000 2021,Alert [Press/News Current Report] / Form 8-K filed with the SEC  $GME $GMEB GameStop Corp  https://t.co/LQEkvCdDZq,1402727570982903809,-0.1027
66,14070,181,251,102,False,Wed Jun 09 20:41:12 +0000 2021,"GameStop Stock Falls On Q1 Results; New CEO, CFO From Amazon To Make E-Commerce Push $GME $AMZN $PG https://t.co/Z5Kf8fLaIe",1402727502867582978,0.1779
24,13971,209,74,11654,False,Wed Jun 09 20:41:58 +0000 2021,"$GME Earnings: Net Sales Grew 25% to $1.3B

https://t.co/PkMfLe0mrK",1402727693615984640,0.2023
98,13629,439,39,7886,False,Wed Jun 09 20:40:30 +0000 2021,RT @JamesCullenB: Anyone panic selling $AMC right now is cray. Im still holding FULL. Gonna run it up. $100+ easily attainable but we gonna…,1402727326161330177,-0.1154
28,11958,0,155,7561,False,Wed Jun 09 20:41:53 +0000 2021,"RT @dtradehunter: $NAKD
$NAKD is due for a short squeeze! Come on apes...
$zom $clov $amc $gme $bb",1402727675014389766,0.2942
5,7355,44,216,1762,False,Wed Jun 09 20:42:16 +0000 2021,what time everyone remember numbers don't matter &amp; $GME reverses,1402727769226846215,-0.0191
9,6437,10,180,1899,False,Wed Jun 09 20:42:13 +0000 2021,$GME GameStop Releases First Quarter 2021 Financial Results https://t.co/3jA2eFEDwH,1402727759173017603,0.0
20,5124,77,70,47,False,Wed Jun 09 20:42:02 +0000 2021,"#GameStop $GME Q1 EPS -$0.45 Beats -$0.83 Est, Revenues $1.28B Beat $1.16B Est. Shares🔻7.27% to $280.55 #earnings #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #Traders #Trade #trading https://t.co/YcCtCSZzuD",1402727710661562371,0.0
36,4121,377,15,1287,False,Wed Jun 09 20:41:44 +0000 2021,Are GME earnings killing AMC? What the hell is going on? This is so unfair. Why even play the stockmarket if it’s corruption goes with out consequences when the steal $ from the retail public.,1402727637135527938,-0.9366
92,2713,1638,30,4966,False,Wed Jun 09 20:40:41 +0000 2021,RT @RickyAnalog: So $GME discloses SEC information request related to investigation of trading activity. You don't think $AMC will be discl…,1402727373808672769,0.0
61,2137,812,38,9427,False,Wed Jun 09 20:41:16 +0000 2021,"Lots of $TWTR news, $GME news, and more! @StockMKTNewz and I are touching on this on @TwitterSpaces. Tune in! https://t.co/vLIXddwhaT",1402727519460237320,0.0
11,1874,1854,8,24984,False,Wed Jun 09 20:42:12 +0000 2021,"@InZaneViews This is pure manipulation, you can see it clear as day https://t.co/I8E19l21cD",1402727751677669382,0.1027
85,1818,1111,13,5323,False,Wed Jun 09 20:40:50 +0000 2021,"Source: https://t.co/sqeNo2q2Xi
#NakedShorting #GME #AMC #amcshortsqueeze #AMCAPES #FinancialTreason",1402727411016474631,0.0
